tweet	time	tweet_id	lat	long
7 months after I was born there was a earthquake. It was strong enough to fuck up San Francisco. Most of you guys are too young for that #89	 2014-08-24 10:35:30	781639459	37.3446708	-121.824583
The Earthquake woke me up. Anyone else feel it? #earthquake	 2014-08-24 10:35:25	542086542	37.2405391	-121.7963817
Wow wtf there's an earthquake up your ass	 2014-08-24 10:35:41	437223008	37.68070556	-121.0412327
Thought it was just a small earthquake that hit SJ... Epicenter in American canyon  magnitude 6. Uhhh good morning? ????	 2014-08-24 10:35:56	49107973	37.24898294	-121.8560247
In San Fran the quake was 6.1	 2014-08-24 10:36:30	1621019076	37.28480112	-121.9027606
EARTHQUAKE and I'm over here like???????? Un temblor y yo estoy asi#earthquake #sanjo @ buck shawÉ?? http://t.co/SRfXjYgmQp	 2014-08-24 10:36:42	2538665287	37.32526618	-121.8395404
I hate earthquakes ????	 2014-08-24 10:37:41	430818507	36.96533238	-121.8406119
É??@ErinAndrews: That just scared the living crud out of me #earthquakeÉ?ù let me tuck you back in ???????ç	 2014-08-24 10:37:33	1730296039	37.02478405	-121.6112944
You know a earthquake is real when it wakes you up out yo sleep	 2014-08-24 10:38:02	95746393	37.30532505	-121.9754139
My mom was right  I can sleep through anything. Did not feel any of that #earthquake guess I'm true 89' baby! #leadears	 2014-08-24 10:38:15	565107871	37.3131837	-121.9089751
The earthquake didn't even feel that bad .	 2014-08-24 10:38:23	1429358400	37.34460269	-121.8220086
"*Google's ""We will rebuild (night)""* #earthquake"	 2014-08-24 10:38:47	277618799	37.35063648	-122.0580726
@Sisser_T if you are there though earthquake you can get underneath and protect yourself.	 2014-08-24 10:39:13	259966107	37.3336181	-121.9934427
Woke up due to earthquake. Kind of cool feeling from 16th floor.#SanJose	 2014-08-24 10:39:28	633176431	37.33512845	-121.8955575
Earthquake about 15 minutes ago. California at its finest.	 2014-08-24 10:39:37	2489479263	37.31530353	-121.9717688
Wtf. There was an earthquake? ????????	 2014-08-24 10:40:10	711409466	36.34422489	-119.3098624
É??@businessinsider: Strong earthquake rocks California near San Francisco http://t.co/5SThanv0avÉ?ù @SportSXMichelle	 2014-08-24 10:40:26	1363176446	37.32099271	-122.031029
15 min ago  our dogs slept through their first #earthquake (10 full seconds). A siren several blocks away an hr before? Loud howling mess.	 2014-08-24 10:40:46	6210762	37.34584579	-121.9749365
@Harrison1_5 and I have to stop talking about ghosts because I definitely thought the earthquake was me being haunted ????	 2014-08-24 10:41:05	352694527	37.33454648	-121.8780781
I hope everybody in #napa is doing ok! #earthquake	 2014-08-24 10:41:00	132062287	39.30580698	-123.795993
Did anyone else awake from an #earthquake? Ugh  it's 3:30am and I just fell asleep. Minor shake in #sanJose:???? http://t.co/5ebkOtiE3c #scary	 2014-08-24 10:41:02	22557591	37.33045969	-121.9043537
Tbh I wouldn't have even realized we had an earthquake if it weren't for twitter	 2014-08-24 10:41:23	242194938	37.24316703	-121.8561278
Whoa Earthquake 6.1!!! Scaryyy	 2014-08-24 10:41:21	2203640202	37.3332647	-121.8851396
Either someone was shaking my door or there was an earth quake	 2014-08-24 10:41:59	56148464	37.33588968	-121.9086714
25 years ago this month I was kinda disappointed to have slept through my first #California quake. Then came October. ;-)	 2014-08-24 10:41:54	4602	37.30625829	-121.9481072
É??@KTVU: #BREAKING eaRTHQUAKE FELT IN BAY AREAÉ?ù #BREAKING CAUGHT ON CAMERA http://t.co/t5M89gi7fi	 2014-08-24 10:42:41	1233525522	37.06011171	-120.8184495
Early start to day due to American Canyon Earthquake waking us up	 2014-08-24 10:42:55	6826842	37.2977676	-122.0406269
Can you NOT? I was sleeping! #kthanksbye http://t.co/44DFbQyULQ #earthquake	 2014-08-24 10:43:04	190560880	36.97133112	-122.0189303
@abhimanyulad the quake woke us all up!	 2014-08-24 10:43:28	53411858	37.37236665	-121.880516
Assessing damage  so far just wrinkled sheets from frantic grasping. #earthquake	 2014-08-24 10:43:22	26149168	37.36072117	-121.839707
Wooo...:) experienced the first earthquake... Feeling awake... #earthquake http://t.co/MwZZPCYyBC	 2014-08-24 10:43:44	1897036255	37.3662289	-121.9109968
About to go drink some Aftershock and reclaim the bed. É??ã?è. #NotMouthWash #earthquake http://t.co/A0vtVWmBTD	 2014-08-24 10:43:50	277618799	37.35053046	-122.0580355
Yeah I'm that fat ass that thinks about food right after a 6.1 magnitude earthquake	 2014-08-24 10:44:12	781639459	37.3446898	-121.8245881
Not trying to dismiss seriousness of this quake but were Californians were earthquake veterans like Wondo.	 2014-08-24 10:44:00	259966107	37.3336181	-121.9934427
Ahh this 200 year old Victorian house was not meant for earthquakes. I pretty much felt everything. #BayArea #earthquake #scared	 2014-08-24 10:44:08	296033369	37.34503802	-121.8915911
Well San Jose felt San Francisco's #earthquake by only a fraction. Hope ya'll are ok over there.	 2014-08-24 10:44:42	2489479263	37.31541367	-121.9717558
1989 ???? @Athletics 6.0 earthquake http://t.co/tXRENnx16F	 2014-08-24 10:44:30	341735855	37.27362134	-121.8007776
definitely just felt that.... #Earthquake	 2014-08-24 10:44:41	32375743	37.329473	-121.8970972
good thing I was awake to feel it. ???Å #earthquake	 2014-08-24 10:45:31	341735855	37.27362792	-121.8007828
